    n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 6059,       9085793,         9079746,          12309,     51944,       58483,        397
 6060,       9091453,         9085405,          11723,     51974,       58494,        350
 6061,       9092491,         9086442,          12430,     52156,       58505,        365
 6062,       9096897,         9090847,          12919,     52096,       58516,        353
 6063,       9101073,         9095022,          11644,     52159,       58527,        331
 6064,       9102281,         9096229,          12031,     52196,       58538,        382
 6065,       9103499,         9097446,          17349,     52079,       58549,        545
 6066,       9105299,         9099245,          12292,     52055,       58560,        349
 6067,       9108497,         9102442,          12850,     52073,       58571,        339
 6068,       9111628,         9105572,          11718,     52303,       58582,        342
 6069,       9115083,         9109026,          13703,     52306,       58593,        501
 6070,       9118964,         9112906,          11695,     52042,       58604,        334
 6071,       9122696,         9116637,          11718,     51981,       58615,        334
 6072,       9126288,         9120228,          12618,     52100,       58626,        337
 6073,       9127615,         9121554,          12583,     52020,       58637,        340
 6074,       9128195,         9122133,          11936,     52183,       58648,        367
 6075,       9128394,         9122331,          11717,     52164,       58659,        339
 6076,       9129157,         9123093,          11657,     52253,       58670,        344
 6077,       9132073,         9126008,          12385,     52275,       58681,        340
 6078,       9135660,         9129594,          11781,     51845,       58692,        333
 6079,       9137033,         9130966,          11811,     51852,       58703,        332
 6080,       9139242,         9133174,          12511,     52160,       58714,        348
 6081,       9143732,         9137663,          11688,     52203,       58725,        335
 6082,       9148934,         9142864,          12609,     52291,       58736,        342
 6083,       9152762,         9146691,          12200,     52272,       58747,        339
 6084,       9157668,         9151596,          14118,     52194,       58758,        541
 6085,       9160429,         9154356,          14589,     52266,       58769,        350
 6086,       9162363,         9156289,          12672,     52169,       58780,        340
 6087,       9166743,         9160668,          12643,     52163,       58791,        339
 6088,       9168761,         9162685,          12486,     52305,       58802,        338
 6089,       9169323,         9163246,          12061,     52399,       58813,        344
 6090,       9175275,         9169197,          13993,     52461,       58824,        339
 6091,       9179837,         9173758,          11879,     52513,       58835,        341
 6092,       9180777,         9174697,          13632,     52369,       58846,        510
 6093,       9183021,         9176940,          13415,     52579,       58857,        345
 6094,       9186261,         9180179,          12315,     52348,       58868,        340
 6095,       9191238,         9185155,          13149,     52373,       58879,        338
 6096,       9191714,         9185630,          12223,     52530,       58890,        341
 6097,       9194287,         9188202,          11908,     52459,       58901,        355
 6098,       9194366,         9188280,          11960,     52425,       58912,        335
 6099,       9194535,         9188448,          16226,     52403,       58923,        367
 6100,       9199852,         9193764,          12320,     52585,       58934,        341
 6101,       9205149,         9199060,          13233,     52750,       58945,        349
 6102,       9208252,         9202162,          13357,     52400,       58956,        340
 6103,       9209819,         9203728,          11852,     52536,       58967,        340
